"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"	"damselae"
"ASV47"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus_Bacilloplasma"	NA
"ASV48"	"Bacteria"	"Deinococcota"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"	"radiodurans"
"ASV49"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"ASV50"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_I"	"Clade_Ia"	NA
"ASV51"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"ASV52"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ascidiaceihabitans"	NA
"ASV53"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	NA	NA
"ASV54"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"vulgatus"
"ASV55"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	NA
"ASV56"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Planktomarina"	"temperata"
"ASV57"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	NA
"ASV58"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"maltophilia"
