"reads.in"	"reads.out"	"derepF"	"derepR"	"merged"	"nochim"
"KLF_60"	57801	45925	44096	44094	40329	36571
"KLF_62"	76382	62828	61772	61847	60014	58024
"KLF_36"	265264	220352	220266	220060	215707	214920
"KLF_42"	117645	99112	98679	98657	93845	93736
"KLF_65"	153330	126877	125651	125716	120262	108969
"KLF_244"	98451	75736	75301	75668	73207	72511
"KLF_13"	141717	110633	110282	110352	108728	104710
"KLF_215"	97146	80504	80366	80344	79986	79743
"KLF_SC_water_2"	120793	91306	86989	87569	82647	73894
"KLF_206"	80259	66406	66253	66239	65467	65340
"KLF_228"	109211	90108	89952	89949	89205	88781
"KLF_34"	120323	95808	95730	95738	90949	90446
"KLF_226"	103348	87974	87886	87913	87083	85878
"KLF_6"	116235	89344	89125	89013	88601	88262
"KLF_219"	114854	100123	100015	100006	99525	99024
"KLF_30"	123662	96032	95644	95651	93830	88730
"KLF_11"	158519	126224	126095	126078	125549	123904
"KLF_239"	92205	78988	78892	78880	78443	78203
"KLF_31"	127288	100543	100358	100372	98716	97344
"KLF_3"	122301	100227	100046	100072	99452	97272
"KLF_53"	57135	48003	46840	46839	45118	44579
"KLF_61"	103735	82951	81740	81692	78838	75421
"KLF_68"	90705	60829	60591	60408	57496	51052
"KLF_211"	60862	50849	50724	50760	50552	50341
"KLF_49"	74201	62537	62187	62261	61535	61515
"KLF_63"	58154	43914	42950	42957	41444	41006
"KLF_24"	114081	93006	92855	92865	92053	85234
"KLF_100"	82120	69347	69223	69245	69001	68761
"KLF_9"	141274	108498	108305	108346	107721	107433
"KLF_8"	141799	111958	111383	111313	109518	109109
"KLF_109"	135776	113408	113253	113281	112581	111814
"KLF_55"	77976	58225	58149	58121	57981	57981
"KLF_25"	147767	114405	114313	114290	112905	108900
"KLF_204"	124898	107030	106911	106944	106429	106103
"KLF_111"	90104	75893	75271	75251	73938	73127
"KLF_108"	149888	122223	121258	121824	119224	116826
"KLF_112"	101823	86086	85993	85987	85777	85707
