"KLF_29"	"KLF_18"	"KLF_47"	"KLF_14"	"KLF_23"	"KLF_238"	"KLF_78"	"KLF_extraction_Ctrl_1"	"KLF_56"	"KLF_48"	"KLF_236"	"KLF_32"	"KLF_202"	"KLF_214"	"KLF_212"	"KLF_extraction_Ctrl_2"	"KLF_12"	"KLF_227"	"KLF_114"	"KLF_SC_water_1"	"KLF_52"	"KLF_19"	"KLF_58"	"KLF_234"	"KLF_105"	"KLF_Mock2"	"KLF_51"	"KLF_107"	"KLF_26"	"KLF_75"	"KLF_37"	"KLF_235"	"KLF_209"	"KLF_205"	"KLF_35"	"KLF_43"	"KLF_110"	"KLF_extraction_Ctrl_4"	"KLF_22"	"KLF_54"	"KLF_71"	"KLF_222"	"KLF_103"	"KLF_1"	"KLF_neg"	"KLF_21"	"KLF_5"	"KLF_15"	"KLF_224"	"KLF_7"	"KLF_X1"	"KLF_2"	"KLF_10"	"KLF_207"	"KLF_46"	"KLF_77"	"KLF_17"	"KLF_217"	"KLF_39"	"KLF_44"	"KLF_16"	"KLF_233"	"KLF_101"	"KLF_213"	"KLF_232"	"KLF_230"	"KLF_74"	"KLF_38"	"KLF_extraction_Ctrl_3"	"KLF_80"	"KLF_231"	"KLF_45"	"KLF_102"	"KLF_113"	"KLF_20"	"KLF_33"	"KLF_200"	"KLF_NBH_water_2"	"KLF_extraction_Ctrl_5"	"KLF_241"	"KLF_208"	"KLF_220"	"KLF_70"	"KLF_229"	"KLF_28"	"KLF_203"	"KLF_210"	"KLF_4"	"KLF_40"	"KLF_67"	"KLF_NBH_water_1"	"KLF_201"	"KLF_73"	"KLF_X2"	"KLF_221"	"KLF_79"	"KLF_243"	"KLF_106"	"KLF_64"	"KLF_66"	"KLF_X3"	"KLF_59"	"KLF_76"	"KLF_104"	"KLF_237"	"KLF_Mock1"	"KLF_240"	"KLF_225"	"KLF_218"	"KLF_PCR_neg"	"KLF_72"	"KLF_27"	"KLF_216"	"KLF_57"	"KLF_69"	"KLF_50"	"KLF_41"	"KLF_242"	"KLF_60"	"KLF_62"	"KLF_36"	"KLF_42"	"KLF_65"	"KLF_244"	"KLF_13"	"KLF_215"	"KLF_SC_water_2"	"KLF_206"	"KLF_228"	"KLF_34"	"KLF_226"	"KLF_6"	"KLF_219"	"KLF_30"	"KLF_11"	"KLF_239"	"KLF_31"	"KLF_3"	"KLF_53"	"KLF_61"	"KLF_68"	"KLF_211"	"KLF_49"	"KLF_63"	"KLF_24"	"KLF_100"	"KLF_9"	"KLF_8"	"KLF_109"	"KLF_55"	"KLF_25"	"KLF_204"	"KLF_111"	"KLF_108"	"KLF_112"
"ASV11"	0	485	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	306	677	0	0	840	0	0	0	0	11595	0	4122	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	181	0	0	42120	0	79317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	26654	0	0	0	0	0	0	0	0
"ASV12"	0	0	0	0	9	0	0	3796	0	8	0	0	0	0	0	0	0	0	0	14	0	11	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	65	2002	0	0	0	38123	0	114	0	0	0	2895	173	0	235	0	0	0	11	0	35	161	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	14	6	0	8	0	0	0	0	0	0	18784	0	0	971	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1819	0	0	40291	0	0	0	0	4	0	41004	0	7	10	0	517	2993	0	0	0	0
"ASV13"	3263	599	907	2081	2439	0	211	0	378	112	0	2099	0	0	0	228	202	110	0	0	75	5073	2774	0	0	0	747	0	655	2602	3840	0	0	0	2543	71	0	0	869	2756	180	0	0	0	13	0	1163	340	0	249	0	1299	13943	0	337	2910	1583	0	1415	278	557	0	31	0	0	0	19151	240	0	0	0	264	0	28	194	6411	0	79	0	0	192	0	2375	0	2172	0	0	1155	0	1042	68	0	1087	0	0	12961	0	0	216	1087	0	1355	1734	0	0	0	0	0	0	0	867	174	0	320	5942	365	42	0	86	186	16063	208	3936	0	1829	0	81	0	101	1297	0	89	0	2375	96	0	2174	0	271	1391	70	0	0	301	0	0	369	2224	0	0	0	0	0	0	0
"ASV14"	0	0	0	0	0	3785	0	0	0	0	2505	0	3185	6673	4076	0	0	1502	2761	0	0	0	0	2500	3641	0	0	2872	0	0	7	1424	2295	1696	5	0	2261	0	0	0	0	2579	2309	0	0	0	0	0	2048	0	163	0	0	1710	0	0	0	2793	0	0	0	2290	3518	3818	1590	2396	0	0	0	0	1223	0	2656	2313	0	4	2281	0	0	3530	2627	2072	0	1232	0	3075	1954	0	0	0	0	3968	22	0	2694	0	1958	2259	0	0	0	0	0	1666	1546	0	2956	2632	2815	0	0	0	2248	0	0	2	0	1711	0	0	0	0	0	787	0	2068	0	1398	1692	4	2271	0	2443	0	0	2672	0	0	0	0	125	1419	0	0	0	2811	0	0	2692	0	0	2572	1397	2491	2635
"ASV15"	0	0	0	0	0	5297	4	0	0	0	2619	0	1295	3527	3528	0	0	1395	1822	0	4	0	0	1640	4618	0	0	2880	0	0	0	1154	1248	2158	0	0	2330	0	0	0	0	2688	1733	0	7	0	0	0	2114	0	0	0	0	1738	0	0	0	1961	0	0	0	2158	1509	2042	1622	2166	0	0	0	2	1341	0	2864	2254	0	0	2388	0	0	3255	2022	1870	0	641	0	2991	2321	0	9	0	0	1836	0	0	3071	0	2226	1457	0	0	0	0	0	949	1094	0	3017	1944	1772	0	0	0	2102	0	0	0	0	1173	0	0	0	0	0	441	0	2163	0	1433	1344	0	1848	0	2796	0	0	2751	0	0	0	0	0	1349	0	0	0	3042	0	0	4617	0	0	3891	1119	2552	2715
"ASV16"	0	0	111	0	0	2799	0	0	0	0	2291	0	2311	5273	2813	0	0	1230	1727	0	0	0	0	3180	2785	7	0	2664	0	0	8	1601	2233	1506	7	0	1263	0	0	0	0	2373	1979	0	2	0	0	0	1541	0	0	0	0	2099	0	0	0	4119	0	0	0	2308	2909	3738	1829	2190	0	0	0	0	1170	0	2289	1503	0	0	3059	0	0	2343	3009	1703	0	1925	0	2557	1672	0	7	0	0	4222	269	0	1990	0	1533	1455	0	0	0	0	0	1257	1437	0	2232	2725	3592	0	0	0	1819	0	0	0	0	1361	0	0	0	0	0	645	0	1652	0	1812	1820	7	1717	0	2325	0	0	2599	0	0	0	0	1400	1312	0	0	0	1769	0	0	2020	0	0	2592	798	1297	1714
"ASV17"	0	0	528	282	259	0	74	0	5831	0	0	59	0	0	0	0	30	0	0	0	3324	70	250	0	0	0	803	0	4403	0	747	0	0	0	0	0	0	0	0	93	293	0	0	8484	0	0	261	56	0	515	0	724	0	0	0	342	292	0	0	344	130	0	0	0	0	0	91	274	60	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	179	0	0	667	3888	1238	0	0	0	0	0	28825	0	0	34	15306	0	15017	0	0	0	0	0	0	0	0	0	0	0	61	21	115	331	0	2181	189	140	2769	4156	0	0	0	0	0	0	0	0	50	0	27	2926	0	73	67	0	1683	0	0	7594	50	133	0	197	32	0	0	54	0	0	0	0
"ASV18"	0	0	0	94	816	0	201	0	354	0	0	95	0	0	0	0	0	319	29	37	83	16524	4970	0	0	0	640	0	0	267	965	0	0	0	160	40	0	0	0	631	96	0	25	0	0	0	0	0	0	0	0	60	178	171	0	1440	215	0	1357	10845	266	0	1232	18	0	0	3346	96	0	0	0	160	14	78	0	0	0	0	0	0	595	0	3785	0	119	92	0	47	0	1621	0	157	370	0	0	3013	0	33	284	422	0	279	27117	345	0	0	0	0	0	0	2099	0	0	658	4645	2742	0	0	117	297	753	264	5999	0	108	59	89	0	0	0	0	0	0	205	0	0	0	0	261	2996	0	0	0	229	0	0	0	91	43	268	0	0	0	20	0
"ASV19"	0	0	0	0	73	0	0	2337	0	0	0	0	0	39	0	0	145	0	0	0	0	0	0	0	0	68474	0	0	0	0	0	0	0	0	24	0	0	10002	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	566	0	0	0	83	14	0	0	0	0	0	13	60	0	63	0	0	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	79	0	0	0	0	0	0	33	0	0	19	12	10453	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	855	0	0	0	47	0	0	0	0	0	0	0	24	0	0	0	0	35	0	0	0	0	0	0	0	48	2923	0	0	0	0	0
"ASV20"	0	0	0	28	173	0	39	0	0	0	0	0	351	0	0	55337	0	0	0	0	0	0	0	0	0	28926	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	63	0	18	0	0	61	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	7	11	0	3967	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	16	0	0	0	17	0	27	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV21"	0	9	0	0	0	0	0	24658	0	0	0	0	0	0	0	3301	0	0	0	117	0	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38543	0	0	0	0	0	0	0	0	0	0	0	0	5529	0	0	0	0	0	0	0	20	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV22"	0	0	0	0	0	0	199	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	26734	0	0	44116	0	0	0	0	181	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	21	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	10	0	0	8	0	0	0	0	0	0	0
"ASV23"	0	0	0	0	0	0	0	0	1680	899	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	71	0	0	58	0	0	0	0	0	22	0	0	0	330	696	0	0	0	0	0	0	0	0	0	0	243	322	0	0	426	0	0	0	361	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	0	0	0	0	0	0	71	0	0	97	0	0	773	0	0	5681	48	0	3696	179	0	0	0	0	0	0	0	144	0	0	0	458	0	607	0	0	44459	96	20	1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	829	0	0	0	0	0	0	0	0	0	0	0
"ASV24"	0	0	0	4	0	0	9705	0	0	8	0	0	0	0	0	10	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	151	11	0	0	0	0	0	0	0	0	37638	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	570	0	0	2	0	0	2	0	0	3420	0	0	0	19	0	0	0	0	0	0	0	6	0	0	12379	44	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0
"ASV25"	0	0	0	0	0	0	0	0	25	0	0	0	0	9956	0	0	0	0	26	0	0	0	0	0	47	46595	0	0	0	37	0	0	0	0	0	0	11	0	0	0	0	24	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	25	0	0	21	0	0	0	0	0	0	16	0	0	0	0	0	18	0	0	27	0	0	22	0	36	0	0	0	0	17	22	17	0	0	0	6223	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	14	0	0	0	0	0	0	32	0	0	0	0	0	0	0	11	0	15	0	0	0	0	0	7	15	10	6
"ASV26"	0	3711	0	4870	223	12	0	0	52	44	0	4	0	0	0	0	49	7	0	0	0	0	0	0	0	0	365	0	0	0	112	0	0	0	14	0	0	0	15	6	16	0	0	758	0	0	357	275	0	0	0	4	155	0	0	33	8663	0	3	31	16554	0	75	0	0	0	0	119	0	0	7	0	0	0	0	0	0	0	0	0	17	0	2	0	0	64	0	4	9	12	0	0	0	0	0	497	0	0	0	0	0	0	0	10	0	0	0	0	0	0	34	0	0	0	11	0	0	0	0	0	6	0	33	0	21882	0	0	0	0	0	0	1277	0	185	326	0	0	196	0	0	0	0	0	0	105	8	4	42	591	0	432	0	0	3	0
"ASV27"	0	51	0	484	14494	0	0	0	0	0	0	0	0	0	0	0	67	0	0	74	0	0	0	0	0	0	0	0	151	0	11186	0	0	0	16	0	0	0	0	0	0	0	0	18	0	0	111	322	0	84	0	0	0	0	0	0	1792	0	5	0	13780	0	0	0	0	0	0	5139	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725	0	0	0	19	0	66	0	0	0	0	836	0	2057	0	0	181	67	0	0	0	0	0	0	22	0	0	0	0	0	20	0	0	0	0
"ASV28"	0	0	0	0	0	0	0	0	5836	0	0	0	0	0	0	0	0	0	0	96	0	0	378	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	30	7	0	0	10	0	0	0	0	0	0	0	2	0	0	0	74	0	0	0	0	0	0	0	0	0	0	159	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	15822	0	0	0	0	0	0	0	0	0	28	0	92	889	0	0	0	0	0	0	2	0	0	0	6172	1578	2	0	0	0	13	0	0	13885	0	0	0	95	0	0	0	0	0	0	4	3	0	0	0	16	44	0	0	0	6492	8	0	0	15	0	0	0	0	0	0	0
