,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_26,KLF_26,gut,26,Scorton Creek,2.2017,5.8,0.1231,M,wild,Scorton Creek wild,26,1,faint,1,medium,het,3/12/21,Run1,,115958,91811,91699,91624,90641,89741,0.773909518963763,0.000445727148126275,FALSE
KLF_75,KLF_75,gut,75,New Bedford Harbor,1.805,5.3,0.0893,M,wild,New Bedford Harbor wild,75,0,none,1,bright,intact,3/12/21,Run1,,105355,83396,79787,79899,76222,74241,0.704674671349248,0.0154900930752549,FALSE
KLF_37,KLF_37,gut,37,Scorton Creek,2.4972,6,0.0894,M,wild,Scorton Creek wild,37,1,bright,1,bright,het,3/12/21,Run2,re-sequenced,143582,109805,109538,109458,107728,100608,0.700700644927637,0.000168972646310433,FALSE
KLF_235,KLF_235,gut,235,New Bedford Harbor,4.606,5.7,0.33,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,72754,63831,63680,63740,62790,61409,0.844063556642934,0.0148512433030989,FALSE
KLF_209,KLF_209,gut,209,New Bedford Harbor,9.068,6.5,0.49,M,F2,New Bedford Harbor F2,,0,none,1,faint,intact,8/25/21,Run2,,106102,88092,87945,87976,87265,86715,0.817279598876553,0.05164043129793,FALSE
KLF_205,KLF_205,gut,205,New Bedford Harbor,6.457,7,0.505,M,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,78740,66384,66272,66285,65855,65553,0.83252476504953,0.0551309627324455,FALSE
KLF_35,KLF_35,gut,35,Scorton Creek,2.4351,5.9,0.1549,M,wild,Scorton Creek wild,35,0,none,1,bright,intact,3/12/21,Run2,re-sequenced,158973,126613,126170,125896,102187,99116,0.623476942625477,8.07135074054643e-05,FALSE
KLF_43,KLF_43,gut,43,New Bedford Harbor,1.459,5.1,0.1105,M,wild,New Bedford Harbor wild,43,1,faint,0,none,homo,3/11/21,Run1,,109175,82624,81598,81545,80234,79274,0.726118616899473,0.264323737921639,FALSE
KLF_110,KLF_110,gut,110,Scorton Creek,2.316,4.7,NA,M,F2,Scorton Creek F2,,1,bright,1,bright,het,8/25/21,Run2,,78594,66975,66869,66856,66627,66267,0.843155966104283,0.0615691067952375,FALSE
KLF_22,KLF_22,gut,22,Scorton Creek,2.6327,5.8,0.1728,M,wild,Scorton Creek wild,22,1,medium,1,medium,het,3/12/21,Run1,,110163,85909,85729,85694,84684,84008,0.762579087352378,0.000345205218550614,FALSE
