,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_41,KLF_41,gut,41,New Bedford Harbor,2.143,5.6,0.1254,M,wild,New Bedford Harbor wild,41,1,faint,1,faint,het,3/11/21,Run1,,107202,83553,83284,83288,82305,82305,0.767756198578385,0.56838588178118,FALSE
KLF_242,KLF_242,gut,242,New Bedford Harbor,5.142,5.7,0.441,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,114891,96015,95799,95779,94571,93175,0.810986065052963,0.146884894016635,FALSE
KLF_60,KLF_60,gut,60,New Bedford Harbor,1.8426,5.5,0.1361,M,wild,New Bedford Harbor wild,60,1,medium,2,bright,het,3/12/21,Run1,,57801,45925,44096,44094,40329,36571,0.632705316517015,0.0165158185447486,FALSE
KLF_62,KLF_62,gut,62,New Bedford Harbor,1.905,5.5,0.1345,M,wild,New Bedford Harbor wild,62,1,bright,1,bright,het,3/12/21,Run1,,76382,62828,61772,61847,60014,58024,0.759655416197533,0.0279367158417207,FALSE
KLF_36,KLF_36,gut,36,Scorton Creek,4.0788,7,0.1677,M,wild,Scorton Creek wild,36,1,bright,0,none,homo,7/28/21,Run1,,265264,220352,220266,220060,215707,214920,0.810211713613608,0.000386190210310813,FALSE
KLF_42,KLF_42,gut,42,New Bedford Harbor,1.355,5,0.0895,M,wild,New Bedford Harbor wild,42,1,bright,2,bright,het,3/11/21,Run1,,117645,99112,98679,98657,93845,93736,0.796769943474011,0.0221579755910216,FALSE
KLF_65,KLF_65,gut,65,New Bedford Harbor,1.914,5.5,0.0997,M,wild,New Bedford Harbor wild,65,1,none,1,bright,het,3/12/21,Run1,,153330,126877,125651,125716,120262,108969,0.710682840931325,0.015793482550083,FALSE
KLF_244,KLF_244,gut,244,New Bedford Harbor,14.075,8.1,0.233,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,partial gut,98451,75736,75301,75668,73207,72511,0.736518674264355,0.339010632869496,FALSE
KLF_13,KLF_13,gut,13,Scorton Creek,4.451,7.3,0.1752,M,wild,Scorton Creek wild,13,0,none,1,bright,intact,3/12/21,Run1,,141717,110633,110282,110352,108728,104710,0.738866896702583,0.000296055773087575,FALSE
KLF_215,KLF_215,gut,215,New Bedford Harbor,3.564,5.8,0.197,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,97146,80504,80366,80344,79986,79743,0.820857266382558,0.0464993792558594,FALSE
KLF_SC_water_2,KLF_SC_water_2,water,NA,Scorton Creek,NA,NA,NA,M,water,Scorton Creek water,SC_water_2,NA,,NA,,,,Run1,,120793,91306,86989,87569,82647,73894,0.61174074656644,0.039150675291634,FALSE
KLF_206,KLF_206,gut,206,New Bedford Harbor,6.863,6.3,0.39,M,F2,New Bedford Harbor F2,,1,faint,1,very faint,het,8/25/21,Run2,,80259,66406,66253,66239,65467,65340,0.814114304937764,0.0962044689317417,FALSE
KLF_228,KLF_228,gut,228,New Bedford Harbor,5.055,5.7,0.198,F,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,109211,90108,89952,89949,89205,88781,0.812930931865838,0.21734380103851,FALSE
KLF_34,KLF_34,gut,34,Scorton Creek,1.39,5,0.0992,M,wild,Scorton Creek wild,34,1,medium,1,bright,het,3/12/21,Run2,re-sequenced,120323,95808,95730,95738,90949,90446,0.751693358709474,0,FALSE
KLF_226,KLF_226,gut,226,New Bedford Harbor,5.269,5.9,0.327,F,F2,New Bedford Harbor F2,,0,none,1,faint,intact,8/25/21,Run2,,103348,87974,87886,87913,87083,85878,0.830959476719433,0.00627634551340273,FALSE
KLF_6,KLF_6,gut,6,Scorton Creek,2.5,6.3,0.0942,M,wild,Scorton Creek wild,6,1,bright,1,bright,het,3/11/21,Run1,,116235,89344,89125,89013,88601,88262,0.759340990235299,0.000192608370533185,FALSE
KLF_219,KLF_219,gut,219,New Bedford Harbor,4.692,6,0.359,M,F2,New Bedford Harbor F2,,1,bright,1,bright,het,8/25/21,Run2,,114854,100123,100015,100006,99525,99024,0.862172845525624,0.0401417838099855,FALSE
KLF_30,KLF_30,gut,30,Scorton Creek,1.8199,5.6,0.0833,M,wild,Scorton Creek wild,30,1,bright,1,bright,het,3/12/21,Run1,,123662,96032,95644,95651,93830,88730,0.717520337694684,9.01611630790037e-05,FALSE
KLF_11,KLF_11,gut,11,Scorton Creek,4.33,7,0.345,M,wild,Scorton Creek wild,11,1,very faint,0,none,homo,7/28/21,Run1,,158519,126224,126095,126078,125549,123904,0.781635009052543,9.6849173553719e-05,FALSE
KLF_239,KLF_239,gut,239,New Bedford Harbor,3.577,5.2,NA,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,goopy,92205,78988,78892,78880,78443,78203,0.848142725448728,0.0482334437297802,FALSE
KLF_31,KLF_31,gut,31,Scorton Creek,3.6322,6.9,0.2955,M,wild,Scorton Creek wild,31,1,faint,1,very faint,het,8/24/21,Run1,,127288,100543,100358,100372,98716,97344,0.764753943812457,0.0002465483234714,FALSE
KLF_3,KLF_3,gut,3,Scorton Creek,1.55,5.5,0.0804,M,wild,Scorton Creek wild,3,1,bright,1,bright,het,3/11/21,Run1,,122301,100227,100046,100072,99452,97272,0.795349179483406,3.08413520848754e-05,FALSE
KLF_53,KLF_53,gut,53,New Bedford Harbor,1.847,5.4,0.1895,M,wild,New Bedford Harbor wild,53,1,medium,1,faint,het,3/12/21,Run1,,57135,48003,46840,46839,45118,44579,0.780239782970158,0.0102963278673815,FALSE
KLF_61,KLF_61,gut,61,New Bedford Harbor,2.679,6,0.1623,M,wild,New Bedford Harbor wild,61,1,bright,1,bright,het,3/12/21,Run1,,103735,82951,81740,81692,78838,75421,0.727054513905625,0.233065061455032,FALSE
KLF_68,KLF_68,gut,68,New Bedford Harbor,4.609,7.2,0.2079,M,wild,New Bedford Harbor wild,68,1,medium,2,bright,het,3/12/21,Run1,,90705,60829,60591,60408,57496,51052,0.562835565845323,0,FALSE
KLF_211,KLF_211,gut,211,New Bedford Harbor,2.454,4.9,0.245,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,60862,50849,50724,50760,50552,50341,0.827133515165456,0.0687312528555253,FALSE
KLF_49,KLF_49,gut,49,New Bedford Harbor,2.1733,5.8,0.1851,M,wild,New Bedford Harbor wild,49,1,medium,1,medium,het,3/11/21,Run1,,74201,62537,62187,62261,61535,61515,0.829031953747254,0.516930829878891,FALSE
KLF_63,KLF_63,gut,63,New Bedford Harbor,4.296,7.5,0.2084,M,wild,New Bedford Harbor wild,63,1,bright,1,bright,het,3/12/21,Run1,,58154,43914,42950,42957,41444,41006,0.705127764212264,0.278154416426864,FALSE
KLF_24,KLF_24,gut,24,Scorton Creek,3.9204,7.1,0.1517,M,wild,Scorton Creek wild,24,1,medium,1,medium,het,3/12/21,Run1,,114081,93006,92855,92865,92053,85234,0.747135807014314,0,FALSE
KLF_100,KLF_100,gut,100,Scorton Creek,2.701,5.2,0.1816,F,F2,Scorton Creek F2,,1,faint,1,faint,het,8/25/21,Run2,,82120,69347,69223,69245,69001,68761,0.837323429128105,0.0197350242143075,FALSE
KLF_9,KLF_9,gut,9,Scorton Creek,3.589,6.6,0.3448,M,wild,Scorton Creek wild,9,0,none,0,none,none,8/24/21,Run1,,141274,108498,108305,108346,107721,107433,0.760458399988674,0.00672046764029674,FALSE
KLF_8,KLF_8,gut,8,Scorton Creek,2.32,5.9,0.166,M,wild,Scorton Creek wild,8,1,very faint,1,faint,het,8/24/21,Run1,,141799,111958,111383,111313,109518,109109,0.769462408056474,0.00434427957363737,FALSE
KLF_109,KLF_109,gut,109,Scorton Creek,1.929,4.7,0.0507,M,F2,Scorton Creek F2,,1,faint,1,bright,het,8/25/21,Run2,,135776,113408,113253,113281,112581,111814,0.82351814753712,0.147280304791887,FALSE
KLF_55,KLF_55,gut,55,New Bedford Harbor,4.482,7.2,0.3797,M,wild,New Bedford Harbor wild,55,0,none,0,none,none,8/24/21,Run1,,77976,58225,58149,58121,57981,57981,0.743574946137273,0.00722650523447336,FALSE
KLF_25,KLF_25,gut,25,Scorton Creek,3.566,6.7,0.2184,M,wild,Scorton Creek wild,25,1,medium,0,none,homo,7/28/21,Run1,,147767,114405,114313,114290,112905,108900,0.736971042248946,0,FALSE
KLF_204,KLF_204,gut,204,New Bedford Harbor,3.367,5.1,0.244,M,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,124898,107030,106911,106944,106429,106103,0.849517206040129,0.0893000197920888,FALSE
KLF_111,KLF_111,gut,111,Scorton Creek,3.596,5.5,NA,M,F2,Scorton Creek F2,,1,faint,1,faint,het,8/25/21,Run2,,90104,75893,75271,75251,73938,73127,0.811584391369973,0.103819382717738,FALSE
KLF_108,KLF_108,gut,108,Scorton Creek,1.6,3.9,0.058,M,F2,Scorton Creek F2,,0,none,1,bright,intact,8/25/21,Run2,,149888,122223,121258,121824,119224,116826,0.779421968403074,0.277849108931231,FALSE
KLF_112,KLF_112,gut,112,Scorton Creek,3.287,5.3,0.222,M,F2,Scorton Creek F2,,1,faint,1,faint,het,8/25/21,Run2,,101823,86086,85993,85987,85777,85707,0.841725346925547,0.0612902096678218,FALSE
