	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxonomy
ASV112	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	f:Mitochondria
ASV113	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA	g:Sulfurovum
ASV114	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	NA	o:SAR86_clade
ASV115	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	g:Lactococcus
ASV116	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	g:Lactobacillus
ASV117	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	NA	g:Synechococcus_CC9902
ASV118	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	NA	g:Ruegeria
ASV120	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	NA	g:Moritella
ASV121	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium	NA	g:Marinobacterium
ASV122	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA	g:Colwellia
ASV123	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	baltica/europaea	Rhodopirellula baltica/europaea
ASV124	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	NA	NA	NA	o:Chromatiales
ASV125	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella	NA	g:Yoonia-Loktanella
ASV127	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	acidilactici	Pediococcus acidilactici
ASV128	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	NA	g:Catenococcus
ASV129	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV130	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Agarivorans	NA	g:Agarivorans
ASV131	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	g:Streptococcus
ASV132	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	NA	g:Candidatus_Actinomarina
ASV133	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	f:Intrasporangiaceae
ASV134	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Arthrospira_PCC-7345	NA	g:Arthrospira_PCC-7345
ASV136	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	g:Vibrio
ASV137	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	g:Vibrio
ASV139	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV140	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	f:Desulfovibrionaceae
ASV142	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV143	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA	f:Desulfocapsaceae
ASV144	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	NA	g:Clade_Ia
ASV145	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	NA	g:Exiguobacterium
ASV146	Bacteria	Firmicutes	Bacilli	Lactobacillales	Catellicoccaceae	Catellicoccus	marimammalium	Catellicoccus marimammalium
ASV147	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	cortegadensis/gallaecicus	Vibrio cortegadensis/gallaecicus
ASV148	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV149	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	calviensis/norvegicus	Enterovibrio calviensis/norvegicus
ASV150	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	g:Lactobacillus
ASV153	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	NA	g:Catenococcus
ASV155	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nasuensis	Lactobacillus nasuensis
ASV156	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinagarivorans	algicola	Marinagarivorans algicola
ASV157	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	NA	g:Photobacterium
ASV159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	g:Enterococcus
ASV160	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	aviarius	Lactobacillus aviarius
ASV162	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	f:Solirubrobacteraceae
ASV163	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV164	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	g:Lactobacillus
ASV165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia	kielensis	Ahrensia kielensis
ASV166	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	NA	g:Desulforhopalus
ASV167	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	seriniphilus	Paracoccus seriniphilus
ASV168	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	NA	g:Pseudophaeobacter
ASV170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	NA	g:Pseudophaeobacter
ASV172	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	NA	g:Pseudoalteromonas
ASV173	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	NA	g:Litoricola
ASV174	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	NA	g:Cyanobium_PCC-6307
ASV176	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	acetotolerans/fructivorans	Lactobacillus acetotolerans/fructivorans
ASV177	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	aestuarianus/fortis	Vibrio aestuarianus/fortis
ASV179	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	NA	g:Synechococcus_CC9902
ASV180	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	NA	f:Cryomorphaceae
ASV181	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	diphtheriae/vitaeruminis	Corynebacterium diphtheriae/vitaeruminis
ASV182	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	somerae	Cetobacterium somerae
ASV183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV184	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA	f:Desulfocapsaceae
ASV185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	ulvae	Amylibacter ulvae
ASV187	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV188	Bacteria	Proteobacteria	Gammaproteobacteria	B2M28	NA	NA	NA	o:B2M28
ASV189	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	g:Enterococcus
ASV190	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	g:Conexibacter
ASV191	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia	NA	g:Harryflintia
ASV192	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	baltica/lusitana	Rhodopirellula baltica/lusitana
ASV193	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	NA	g:Candidatus_Nitrocosmicus
ASV194	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	NA	o:SAR86_clade
ASV195	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus	NA	g:Peptostreptococcus
ASV197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella	NA	g:Yoonia-Loktanella
ASV201	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia	kielensis/marina	Ahrensia kielensis/marina
ASV202	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus	NA	g:Macrococcus
ASV203	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	NA	g:Candidatus_Puniceispirillum
ASV204	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA	NA	o:PeM15
ASV205	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus_Aquiluna	NA	g:Candidatus_Aquiluna
ASV206	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales_fa	Pseudobacteriovorax	NA	g:Pseudobacteriovorax
ASV208	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	NA	g:Pseudooceanicola
ASV210	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	brevis/farciminis	Lactobacillus brevis/farciminis
ASV211	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	NA	NA	f:Ectothiorhodospiraceae
ASV212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA	g:Paracoccus
ASV213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter	NA	g:Litoreibacter
ASV215	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	denitrificans/gaetbuli	Shewanella denitrificans/gaetbuli
ASV216	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	NA	f:SAR116_clade
ASV217	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	NA	g:Pseudoalteromonas
ASV219	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Natranaerovirga	NA	g:Natranaerovirga
ASV220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	halocynthiae	Aliiroseovarius halocynthiae
ASV221	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	dubius	Sulfitobacter dubius
ASV223	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	parauberis	Streptococcus parauberis
ASV225	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Labrenzia	aggregata	Labrenzia aggregata
ASV226	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	variabilis	Desulfosarcina variabilis
ASV227	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	aquimaris	Tropicimonas aquimaris
ASV228	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	NA	g:Alcanivorax
ASV229	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA	f:Gimesiaceae
ASV230	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	g:Bacillus
ASV232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	NA	g:Litorimicrobium
ASV233	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	Lactobacillus reuteri
ASV234	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA	f:Halieaceae
ASV235	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	NA	g:Synechococcus_CC9902
ASV236	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesia	NA	g:Gimesia
ASV238	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	f:Rhizobiaceae
ASV239	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	rosea	Haloferula rosea
ASV240	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV241	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	nonamiensis	Ilumatobacter nonamiensis
ASV242	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA	g:BD1-7_clade
ASV243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sedimentitalea	NA	g:Sedimentitalea
ASV244	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	NA	g:Isoptericola
ASV246	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA	g:Halioglobus
